PostcodeDistrict,EstimatedDogPopulation,Area Name,District
DY11,"5,391.09",Dudley,West Midlands
DY12,"3,376.03",Dudley,West Midlands
DY13,"4,983.64",Dudley,West Midlands
DY14,"4,717.66",Dudley,West Midlands
DY2,"4,703.74",Dudley,West Midlands
DY3,"3,486.99",Dudley,West Midlands
DY4,"3,180.26",Dudley,West Midlands
DY5,"3,179.19",Dudley,West Midlands
DY6,"1,740.43",Dudley,West Midlands
DY7,"1,759.56",Dudley,West Midlands
DY8,"6,349.24",Dudley,West Midlands
DY9,"6,152.78",Dudley,West Midlands
E1,"1,523.98",London East,Greater London
E10,"1,558.89",London East,Greater London
E11,"5,191.69",London East,Greater London
E12,973.9757651,London East,Greater London
E13,779.6551625,London East,Greater London
E14,"3,311.50",London East,Greater London
E15,"1,823.03",London East,Greater London
E16,"2,440.57",London East,Greater London
E17,"3,207.75",London East,Greater London
E18,"1,547.56",London East,Greater London
E1W,340.2618889,London East,Greater London
E2,"1,244.89",London East,Greater London
E20,193.1128195,London East,Greater London
E3,"3,569.70",London East,Greater London
E4,"8,105.25",London East,Greater London
E5,714.7350032,London East,Greater London
E6,"2,514.66",London East,Greater London
E7,"1,560.91",London East,Greater London
E8,"1,333.93",London East,Greater London
E9,835.525766,London East,Greater London
EC1A,29.47645746,East Central London,Greater London
EC1M,65.82261726,East Central London,Greater London
EC1N,51.95966072,East Central London,Greater London
EC1R,223.1525705,East Central London,Greater London
EC1V,465.7844202,East Central London,Greater London
EC1Y,109.1421541,East Central London,Greater London
EC2A,183.2512937,East Central London,Greater London
EC2M,30.50557728,East Central London,Greater London
EC2N,9.634896591,East Central London,Greater London
EC2P,0.650860512,East Central London,Greater London
EC2R,14.89156216,East Central London,Greater London
EC2V,11.07807789,East Central London,Greater London
EC2Y,22.21057568,East Central London,Greater London
EC3A,13.28183569,East Central London,Greater London
EC3M,19.37870016,East Central London,Greater London
EC3N,30.69668437,East Central London,Greater London
EC3R,19.25734026,East Central London,Greater London
EC3V,14.55021087,East Central London,Greater London
EC4A,14.6628937,East Central London,Greater London
EC4M,10.12555811,East Central London,Greater London
EC4N,11.50321845,East Central London,Greater London
EC4R,9.271089761,East Central London,Greater London
EC4V,20.20883237,East Central London,Greater London
EC4Y,30.30208837,East Central London,Greater London
EH1,"1,130.85",Edinburgh,Scotland
EH10,"5,948.01",Edinburgh,Scotland
EH11,"5,565.33",Edinburgh,Scotland
EH12,"4,544.91",Edinburgh,Scotland
EH13,"2,164.96",Edinburgh,Scotland
EH14,"5,412.28",Edinburgh,Scotland
EH15,"4,005.14",Edinburgh,Scotland
EH16,"4,770.98",Edinburgh,Scotland
EH17,"3,127.41",Edinburgh,Scotland
EH18,"1,118.38",Edinburgh,Scotland
EH19,"3,640.04",Edinburgh,Scotland
EH2,662.9894441,Edinburgh,Scotland
EH20,"6,071.71",Edinburgh,Scotland
EH21,"7,135.58",Edinburgh,Scotland
EH22,"5,784.55",Edinburgh,Scotland
EH23,"5,343.60",Edinburgh,Scotland
EH24,492.6593856,Edinburgh,Scotland
EH25,"8,589.49",Edinburgh,Scotland
EH26,"4,442.02",Edinburgh,Scotland
EH27,236.0923305,Edinburgh,Scotland
EH28,"1,899.80",Edinburgh,Scotland
EH29,"2,900.78",Edinburgh,Scotland
EH3,"3,853.35",Edinburgh,Scotland
EH30,"2,872.36",Edinburgh,Scotland
EH31,"1,406.32",Edinburgh,Scotland
EH32,"6,249.86",Edinburgh,Scotland
EH33,"6,302.01",Edinburgh,Scotland
EH34,894.6515938,Edinburgh,Scotland
EH35,646.4961501,Edinburgh,Scotland
EH36,109.2803316,Edinburgh,Scotland
EH37,344.2747002,Edinburgh,Scotland
EH38,294.4452419,Edinburgh,Scotland
EH39,"4,761.67",Edinburgh,Scotland
EH4,"9,452.40",Edinburgh,Scotland
EH40,430.2371297,Edinburgh,Scotland
EH41,"2,037.18",Edinburgh,Scotland
EH42,"3,353.02",Edinburgh,Scotland
EH43,316.8381094,Edinburgh,Scotland
EH44,"1,144.80",Edinburgh,Scotland
EH45,"5,234.34",Edinburgh,Scotland
EH46,925.693165,Edinburgh,Scotland
EH47,"1,265.22",Edinburgh,Scotland
EH48,"2,014.27",Edinburgh,Scotland
EH49,"2,937.91",Edinburgh,Scotland
EH5,"3,166.12",Edinburgh,Scotland
EH51,"2,412.47",Edinburgh,Scotland
EH52,"1,917.97",Edinburgh,Scotland
EH53,"1,256.92",Edinburgh,Scotland
EH54,"8,421.77",Edinburgh,Scotland
EH55,"2,406.97",Edinburgh,Scotland
EH6,"6,632.25",Edinburgh,Scotland
EH7,"2,844.92",Edinburgh,Scotland
EH8,"1,806.13",Edinburgh,Scotland
EH9,"3,266.44",Edinburgh,Scotland
EN1,"5,357.28",Enfield,Greater London
EN10,"5,677.43",Enfield,Greater London
EN11,"4,315.66",Enfield,Greater London
EN2,"3,057.38",Enfield,Greater London
EN3,"5,172.48",Enfield,Greater London
EN4,"2,854.05",Enfield,Greater London
EN5,"3,427.96",Enfield,Greater London
EN6,"16,165.81",Enfield,Greater London
EN7,"3,483.02",Enfield,Greater London
EN8,"4,385.63",Enfield,Greater London
EN9,"5,608.29",Enfield,Greater London
EX1,"3,296.25",Exeter,South West England
EX10,"6,730.56",Exeter,South West England
EX11,"3,062.34",Exeter,South West England
EX12,"4,219.39",Exeter,South West England
EX13,"4,878.47",Exeter,South West England
EX14,"8,414.77",Exeter,South West England
EX15,"12,289.85",Exeter,South West England
EX16,"12,403.54",Exeter,South West England
EX17,"10,133.41",Exeter,South West England
EX18,822.6472464,Exeter,South West England
EX19,"2,254.93",Exeter,South West England
EX2,"6,184.93",Exeter,South West England
EX20,"11,161.77",Exeter,South West England
EX21,"2,526.07",Exeter,South West England
CA95,0,Carlisle,
CA99,0,Carlisle,
CF91,0,Cardiff,
CF95,0,Cardiff,
CF99,0,Cardiff,
CH70,0,Chester,
CH88,0,Chester,
CH99,0,Chester,
CM92,0,Chelmsford,
CM98,0,Chelmsford,
CR9,0,Croydon,
CT50,0,Canterbury,
DE99,0,Derby,
DH97,0,Durham,
DH99,0,Durham,
DL98,0,Darlington,
DN55,0,Doncaster,
E98,0,London East,
EC3P,0,East Central London,
EH91,0,Edinburgh,
EH99,0,Edinburgh,
EX22,"11,062.28",Exeter,South West England
EX23,"9,869.30",Exeter,South West England
EX24,"1,451.61",Exeter,South West England
EX3,"1,156.42",Exeter,South West England
EX31,"21,725.89",Exeter,South West England
EX32,"6,383.22",Exeter,South West England
EX33,"4,846.60",Exeter,South West England
EX34,"11,715.08",Exeter,South West England
EX35,"2,172.28",Exeter,South West England
EX36,"7,945.84",Exeter,South West England
EX37,"1,366.90",Exeter,South West England
EX38,861.4519563,Exeter,South West England
EX39,"20,879.82",Exeter,South West England
EX4,"9,500.10",Exeter,South West England
EX5,"5,088.27",Exeter,South West England
EX6,"10,910.69",Exeter,South West England
EX7,"2,113.56",Exeter,South West England
EX8,"10,668.17",Exeter,South West England
EX9,"2,403.57",Exeter,South West England
FK1,"3,670.28",Falkirk,Scotland
FK10,"3,420.86",Falkirk,Scotland
FK11,400.7471381,Falkirk,Scotland
FK12,512.0713217,Falkirk,Scotland
FK13,635.9610744,Falkirk,Scotland
FK14,566.3481931,Falkirk,Scotland
FK15,"5,086.35",Falkirk,Scotland
FK16,"1,280.00",Falkirk,Scotland
FK17,"2,108.43",Falkirk,Scotland
FK18,135.3852604,Falkirk,Scotland
FK19,275.7502222,Falkirk,Scotland
FK2,"6,753.16",Falkirk,Scotland
FK20,58.19607193,Falkirk,Scotland
FK21,468.0243015,Falkirk,Scotland
FK3,"1,160.13",Falkirk,Scotland
FK4,852.0626991,Falkirk,Scotland
FK5,791.0654183,Falkirk,Scotland
FK6,"2,435.35",Falkirk,Scotland
FK7,"11,739.35",Falkirk,Scotland
FK8,"4,641.78",Falkirk,Scotland
FK9,"2,335.49",Falkirk,Scotland
FY1,"2,158.73",Blackpool,North West England
FY2,"2,182.64",Blackpool,North West England
FY3,"2,261.13",Blackpool,North West England
FY4,"2,937.65",Blackpool,North West England
FY5,"8,484.93",Blackpool,North West England
FY6,"7,411.82",Blackpool,North West England
FY7,"2,995.09",Blackpool,North West England
FY8,"9,898.06",Blackpool,North West England
G1,"1,245.80",Glasgow,Scotland
G11,"3,733.80",Glasgow,Scotland
G12,"5,299.12",Glasgow,Scotland
G13,"7,429.14",Glasgow,Scotland
G14,"3,221.20",Glasgow,Scotland
G15,"1,137.18",Glasgow,Scotland
G2,"1,456.16",Glasgow,Scotland
G20,"3,290.28",Glasgow,Scotland
G21,"1,548.58",Glasgow,Scotland
G22,"1,137.30",Glasgow,Scotland
G23,376.0358043,Glasgow,Scotland
G3,"4,470.05",Glasgow,Scotland
G31,"1,746.95",Glasgow,Scotland
G32,"1,810.32",Glasgow,Scotland
G33,"2,222.56",Glasgow,Scotland
G34,430.3034577,Glasgow,Scotland
G4,"1,089.97",Glasgow,Scotland
G40,"1,007.25",Glasgow,Scotland
G41,"7,572.53",Glasgow,Scotland
G42,"3,437.81",Glasgow,Scotland
G43,"3,188.23",Glasgow,Scotland
G44,"2,306.42",Glasgow,Scotland
G45,"1,529.57",Glasgow,Scotland
G46,"1,945.77",Glasgow,Scotland
G5,"1,574.57",Glasgow,Scotland
G51,"5,439.70",Glasgow,Scotland
G52,"3,488.22",Glasgow,Scotland
G53,"3,209.42",Glasgow,Scotland
G60,272.6476378,Glasgow,Scotland
G61,"7,187.90",Glasgow,Scotland
G62,"3,281.40",Glasgow,Scotland
G63,"3,364.11",Glasgow,Scotland
G64,"4,194.40",Glasgow,Scotland
G65,"2,372.82",Glasgow,Scotland
G66,"4,399.21",Glasgow,Scotland
G67,"3,801.97",Glasgow,Scotland
G68,"1,610.20",Glasgow,Scotland
G69,"2,027.40",Glasgow,Scotland
G71,"3,344.59",Glasgow,Scotland
G72,"5,272.71",Glasgow,Scotland
G73,"3,357.14",Glasgow,Scotland
G74,"2,764.39",Glasgow,Scotland
G75,"3,812.71",Glasgow,Scotland
G76,"6,232.84",Glasgow,Scotland
G77,"3,403.79",Glasgow,Scotland
G78,891.2537046,Glasgow,Scotland
G81,"1,911.31",Glasgow,Scotland
G82,"4,740.76",Glasgow,Scotland
G83,"1,707.46",Glasgow,Scotland
G84,"4,081.13",Glasgow,Scotland
GL1,"3,124.51",Gloucester,South West England
GL10,"4,979.70",Gloucester,South West England
GL11,"7,511.90",Gloucester,South West England
GL12,"3,668.41",Gloucester,South West England
GL13,"2,793.33",Gloucester,South West England
GL14,"3,596.69",Gloucester,South West England
GL15,"8,534.05",Gloucester,South West England
GL16,"3,219.24",Gloucester,South West England
GL17,"2,065.78",Gloucester,South West England
GL18,"2,279.40",Gloucester,South West England
GL19,"3,257.52",Gloucester,South West England
GL2,"19,940.18",Gloucester,South West England
GL20,"12,724.99",Gloucester,South West England
GL3,"7,846.30",Gloucester,South West England
GL4,"9,948.06",Gloucester,South West England
GL5,"11,833.26",Gloucester,South West England
GL50,"8,375.86",Gloucester,South West England
GL51,"14,073.80",Gloucester,South West England
GL52,"11,655.44",Gloucester,South West England
GL53,"3,378.29",Gloucester,South West England
GL54,"8,903.02",Gloucester,South West England
GL55,"2,493.11",Gloucester,South West England
GL56,"7,050.22",Gloucester,South West England
GL6,"5,273.31",Gloucester,South West England
GL7,"15,022.94",Gloucester,South West England
GL8,"5,154.93",Gloucester,South West England
GL9,646.9648183,Gloucester,South West England
GU1,"8,355.95",Guildford,South East England
GU10,"6,808.59",Guildford,South East England
GU11,"2,877.08",Guildford,South East England
GU12,"4,670.93",Guildford,South East England
GU14,"10,202.27",Guildford,South East England
GU15,"7,022.18",Guildford,South East England
GU16,"3,884.79",Guildford,South East England
GU17,"2,221.37",Guildford,South East England
GU18,"1,228.44",Guildford,South East England
GU19,"1,542.42",Guildford,South East England
GU2,"6,871.32",Guildford,South East England
GU20,"1,709.42",Guildford,South East England
GU21,"9,234.19",Guildford,South East England
GU22,"4,440.67",Guildford,South East England
GU23,"1,459.98",Guildford,South East England
GU24,"4,740.87",Guildford,South East England
GU25,"1,494.88",Guildford,South East England
GU26,"3,308.48",Guildford,South East England
GU27,"4,778.00",Guildford,South East England
GU28,"2,699.52",Guildford,South East England
GU29,"4,692.75",Guildford,South East England
GU3,"4,768.01",Guildford,South East England
GU30,"4,207.69",Guildford,South East England
GU31,"4,830.15",Guildford,South East England
GU32,"4,195.34",Guildford,South East England
GU33,956.6671376,Guildford,South East England
GU34,"7,250.40",Guildford,South East England
GU35,"6,244.24",Guildford,South East England
GU4,"2,808.90",Guildford,South East England
GU46,"4,637.63",Guildford,South East England
GU47,"3,369.36",Guildford,South East England
GU5,"1,487.98",Guildford,South East England
GU51,"5,755.99",Guildford,South East England
GU52,"2,282.94",Guildford,South East England
GU6,"6,145.15",Guildford,South East England
GU7,"13,680.28",Guildford,South East England
GU8,"7,704.53",Guildford,South East England
GU9,"8,458.54",Guildford,South East England
HA0,"1,394.92",Harrow,Greater London
HA1,"2,025.55",Harrow,Greater London
HA2,"1,827.27",Harrow,Greater London
HA3,"3,591.00",Harrow,Greater London
HA4,"6,436.35",Harrow,Greater London
HA5,"7,968.95",Harrow,Greater London
HA6,"3,891.44",Harrow,Greater London
HA7,"7,899.37",Harrow,Greater London
HA8,"3,477.97",Harrow,Greater London
HA9,"1,408.29",Harrow,Greater London
HD1,"3,432.80",Huddersfield,Yorkshire and Humberside
HD2,"3,554.17",Huddersfield,Yorkshire and Humberside
HD3,"3,535.41",Huddersfield,Yorkshire and Humberside
HD4,"5,093.91",Huddersfield,Yorkshire and Humberside
HD5,"2,486.78",Huddersfield,Yorkshire and Humberside
HD6,"7,050.92",Huddersfield,Yorkshire and Humberside
HD7,"2,188.60",Huddersfield,Yorkshire and Humberside
HD8,"5,982.92",Huddersfield,Yorkshire and Humberside
HD9,"4,513.54",Huddersfield,Yorkshire and Humberside
HG1,"7,158.35",Harrogate,Yorkshire and Humberside
HG2,"5,571.72",Harrogate,Yorkshire and Humberside
HG3,"6,689.42",Harrogate,Yorkshire and Humberside
HG4,"15,314.57",Harrogate,Yorkshire and Humberside
HG5,"4,094.03",Harrogate,Yorkshire and Humberside
HP1,"3,914.09",Hemel Hempstead,East of England
HP10,"4,517.14",Hemel Hempstead,East of England
HP11,"2,792.91",Hemel Hempstead,East of England
HP12,"3,779.31",Hemel Hempstead,East of England
HP13,"4,689.04",Hemel Hempstead,East of England
HP14,"7,106.77",Hemel Hempstead,East of England
HP15,"1,274.56",Hemel Hempstead,East of England
HP16,"2,087.43",Hemel Hempstead,East of England
HP17,"2,196.90",Hemel Hempstead,East of England
HP18,"5,027.93",Hemel Hempstead,East of England
HP19,"2,649.35",Hemel Hempstead,East of England
HP2,"5,671.36",Hemel Hempstead,East of England
HP20,"2,778.78",Hemel Hempstead,East of England
HP21,"4,921.79",Hemel Hempstead,East of England
HP22,"11,245.78",Hemel Hempstead,East of England
HP23,"1,929.85",Hemel Hempstead,East of England
HP27,"4,391.55",Hemel Hempstead,East of England
HP3,"3,154.79",Hemel Hempstead,East of England
HP4,"4,666.53",Hemel Hempstead,East of England
HP5,"5,339.83",Hemel Hempstead,East of England
HP6,"3,059.52",Hemel Hempstead,East of England
HP7,"2,310.65",Hemel Hempstead,East of England
HP8,"1,137.68",Hemel Hempstead,East of England
HP9,"4,028.63",Hemel Hempstead,East of England
HR1,"8,495.92",Hereford,West Midlands
HR2,"12,574.23",Hereford,West Midlands
HR3,"5,655.55",Hereford,West Midlands
HR4,"6,402.44",Hereford,West Midlands
HR5,"1,864.09",Hereford,West Midlands
HR6,"10,650.05",Hereford,West Midlands
HR7,"1,626.75",Hereford,West Midlands
HR8,"4,528.26",Hereford,West Midlands
HR9,"5,921.37",Hereford,West Midlands
HS1,255.4465842,Hebrides,Scotland
HS2,625.4683754,Hebrides,Scotland
HS3,72.15566024,Hebrides,Scotland
HS4,16.21452165,Hebrides,Scotland
HS5,14.5675545,Hebrides,Scotland
HS6,636.1826354,Hebrides,Scotland
HS7,409.5801189,Hebrides,Scotland
HS8,664.8618162,Hebrides,Scotland
HS9,"1,716.93",Hebrides,Scotland
HU1,"1,965.74",Hull,Yorkshire and Humberside
HU10,"8,047.86",Hull,Yorkshire and Humberside
HU11,"3,382.97",Hull,Yorkshire and Humberside
HU12,"7,334.34",Hull,Yorkshire and Humberside
HU13,"1,972.10",Hull,Yorkshire and Humberside
HU14,"5,739.20",Hull,Yorkshire and Humberside
HU15,"6,908.53",Hull,Yorkshire and Humberside
HU16,"5,972.74",Hull,Yorkshire and Humberside
HU17,"8,949.95",Hull,Yorkshire and Humberside
HU18,"1,848.33",Hull,Yorkshire and Humberside
HU19,851.7933593,Hull,Yorkshire and Humberside
HU2,"1,206.12",Hull,Yorkshire and Humberside
HU20,379.3683877,Hull,Yorkshire and Humberside
HU3,"6,925.31",Hull,Yorkshire and Humberside
HU4,"2,443.45",Hull,Yorkshire and Humberside
HU5,"8,646.25",Hull,Yorkshire and Humberside
HU6,"6,344.66",Hull,Yorkshire and Humberside
HU7,"3,191.80",Hull,Yorkshire and Humberside
HU8,"5,505.88",Hull,Yorkshire and Humberside
HU9,"9,206.41",Hull,Yorkshire and Humberside
HX1,"5,444.68",Halifax,North West England
HX2,"6,960.40",Halifax,North West England
HX3,"9,614.46",Halifax,North West England
HX4,"9,392.01",Halifax,North West England
HX5,"3,097.25",Halifax,North West England
HX6,"9,067.57",Halifax,North West England
HX7,"2,209.68",Halifax,North West England
IG1,"1,764.87",Ilford,Greater London
IG10,"2,778.14",Ilford,Greater London
IG11,"2,168.18",Ilford,Greater London
IG2,"1,236.66",Ilford,Greater London
IG3,"1,984.98",Ilford,Greater London
IG4,643.2524031,Ilford,Greater London
IG5,984.2643531,Ilford,Greater London
IG6,"1,149.25",Ilford,Greater London
IG7,992.0646314,Ilford,Greater London
IG8,"4,694.02",Ilford,Greater London
IG9,"2,175.63",Ilford,Greater London
IP1,"5,483.31",Ipswich,East of England
IP10,"1,384.80",Ipswich,East of England
IP11,"5,552.79",Ipswich,East of England
IP12,"7,042.31",Ipswich,East of England
IP13,"7,302.95",Ipswich,East of England
IP14,"16,472.47",Ipswich,East of England
IP15,320.1996077,Ipswich,East of England
IP16,546.0541,Ipswich,East of England
IP17,"3,502.25",Ipswich,East of England
IP18,"3,764.09",Ipswich,East of England
IP19,"3,446.99",Ipswich,East of England
IP2,"5,194.81",Ipswich,East of England
IP20,"4,126.77",Ipswich,East of England
IP21,"6,046.88",Ipswich,East of England
IP22,"9,489.54",Ipswich,East of England
IP23,"4,287.38",Ipswich,East of England
IP24,"6,368.58",Ipswich,East of England
IP25,"2,844.63",Ipswich,East of England
IP26,"1,294.52",Ipswich,East of England
IP27,"2,880.11",Ipswich,East of England
IP28,"6,380.35",Ipswich,East of England
IP29,"5,418.55",Ipswich,East of England
IP3,"7,677.66",Ipswich,East of England
IP30,"1,724.87",Ipswich,East of England
IP31,"5,551.78",Ipswich,East of England
IP32,"4,998.95",Ipswich,East of England
IP33,"3,084.67",Ipswich,East of England
IP4,"5,015.61",Ipswich,East of England
IP5,"4,972.34",Ipswich,East of England
IP6,"3,092.50",Ipswich,East of England
IP7,"3,506.74",Ipswich,East of England
IP8,"3,698.59",Ipswich,East of England
IP9,"7,543.90",Ipswich,East of England
IV1,469.7802869,Inverness,Scotland
IV10,220.0276095,Inverness,Scotland
IV11,78.10096112,Inverness,Scotland
IV12,"2,884.56",Inverness,Scotland
IV13,130.3076863,Inverness,Scotland
IV14,381.5301727,Inverness,Scotland
IV15,"1,039.19",Inverness,Scotland
IV16,902.3202084,Inverness,Scotland
IV17,"4,547.35",Inverness,Scotland
IV18,"5,397.87",Inverness,Scotland
IV19,"3,896.96",Inverness,Scotland
IV2,"9,904.35",Inverness,Scotland
IV20,867.9655597,Inverness,Scotland
IV21,"1,411.73",Inverness,Scotland
IV22,"1,903.74",Inverness,Scotland
IV23,400.7437842,Inverness,Scotland
IV24,"1,015.67",Inverness,Scotland
IV25,"1,645.75",Inverness,Scotland
IV26,451.6834249,Inverness,Scotland
IV27,"1,577.86",Inverness,Scotland
IV28,183.1028128,Inverness,Scotland
IV3,"3,879.36",Inverness,Scotland
IV30,"7,035.43",Inverness,Scotland
IV31,"1,343.69",Inverness,Scotland
IV32,872.7985316,Inverness,Scotland
IV36,"6,172.43",Inverness,Scotland
IV4,814.8418857,Inverness,Scotland
IV40,561.7427388,Inverness,Scotland
IV41,67.1482208,Inverness,Scotland
IV42,164.3430082,Inverness,Scotland
IV43,96.49255487,Inverness,Scotland
IV44,121.2600509,Inverness,Scotland
IV45,104.2309958,Inverness,Scotland
IV46,39.47716256,Inverness,Scotland
IV47,170.904526,Inverness,Scotland
IV48,20.4467087,Inverness,Scotland
IV49,418.9758226,Inverness,Scotland
IV5,254.0813107,Inverness,Scotland
IV51,"2,428.77",Inverness,Scotland
IV52,81.28048956,Inverness,Scotland
IV53,28.86466369,Inverness,Scotland
IV54,455.7289995,Inverness,Scotland
IV55,788.0585495,Inverness,Scotland
IV56,212.6256658,Inverness,Scotland
IV6,760.0215633,Inverness,Scotland
IV63,539.2428808,Inverness,Scotland
IV7,932.4250219,Inverness,Scotland
IV8,71.83190165,Inverness,Scotland
IV9,104.3119443,Inverness,Scotland
KA1,"2,765.84",Kilmarnock,Scotland
KA10,"3,071.07",Kilmarnock,Scotland
KA11,"1,190.39",Kilmarnock,Scotland
KA12,"7,533.58",Kilmarnock,Scotland
KA13,"5,023.19",Kilmarnock,Scotland
KA14,118.8101114,Kilmarnock,Scotland
KA15,"1,032.77",Kilmarnock,Scotland
KA16,501.8997683,Kilmarnock,Scotland
KA17,629.6829456,Kilmarnock,Scotland
KA18,"4,922.01",Kilmarnock,Scotland
KA19,"5,692.04",Kilmarnock,Scotland
KA2,"1,258.62",Kilmarnock,Scotland
KA20,"1,381.02",Kilmarnock,Scotland
KA21,"1,270.64",Kilmarnock,Scotland
KA22,"1,156.08",Kilmarnock,Scotland
KA23,"5,445.48",Kilmarnock,Scotland
KA24,"1,648.23",Kilmarnock,Scotland
KA25,976.5949995,Kilmarnock,Scotland
KA26,"3,800.44",Kilmarnock,Scotland
KA27,981.8102732,Kilmarnock,Scotland
KA28,607.7169504,Kilmarnock,Scotland
KA29,352.6831429,Kilmarnock,Scotland
KA3,"2,169.64",Kilmarnock,Scotland
KA30,"2,770.52",Kilmarnock,Scotland
KA4,785.9421326,Kilmarnock,Scotland
KA5,"6,231.47",Kilmarnock,Scotland
KA6,"1,620.05",Kilmarnock,Scotland
KA7,"5,298.61",Kilmarnock,Scotland
KA8,"3,231.88",Kilmarnock,Scotland
KA9,"3,357.12",Kilmarnock,Scotland
KT1,"2,387.71",Kingston upon Thames,Greater London
KT10,"2,851.36",Kingston upon Thames,Greater London
KT11,"2,896.44",Kingston upon Thames,Greater London
KT12,"6,397.87",Kingston upon Thames,Greater London
KT13,"4,055.51",Kingston upon Thames,Greater London
KT14,"1,372.30",Kingston upon Thames,Greater London
KT15,"2,935.66",Kingston upon Thames,Greater London
KT16,"1,973.26",Kingston upon Thames,Greater London
KT17,"4,799.69",Kingston upon Thames,Greater London
KT18,"2,833.33",Kingston upon Thames,Greater London
KT19,"5,015.12",Kingston upon Thames,Greater London
KT2,"3,214.94",Kingston upon Thames,Greater London
KT20,"2,865.09",Kingston upon Thames,Greater London
KT21,"1,137.28",Kingston upon Thames,Greater London
KT22,"2,500.30",Kingston upon Thames,Greater London
KT23,"2,039.78",Kingston upon Thames,Greater London
KT24,"3,469.82",Kingston upon Thames,Greater London
KT3,"4,413.69",Kingston upon Thames,Greater London
KT4,"4,153.30",Kingston upon Thames,Greater London
KT5,"1,436.50",Kingston upon Thames,Greater London
KT6,"2,402.10",Kingston upon Thames,Greater London
KT7,"1,457.02",Kingston upon Thames,Greater London
KT8,"3,099.68",Kingston upon Thames,Greater London
KT9,"1,702.32",Kingston upon Thames,Greater London
KW1,"3,421.36",Kirkwall,Scotland
KW10,507.6767976,Kirkwall,Scotland
KW11,58.39017962,Kirkwall,Scotland
KW12,618.1986412,Kirkwall,Scotland
KW13,42.66974665,Kirkwall,Scotland
KW14,"4,955.09",Kirkwall,Scotland
KW15,"7,597.55",Kirkwall,Scotland
KW16,"4,719.81",Kirkwall,Scotland
KW17,"6,178.20",Kirkwall,Scotland
KW2,25.09328506,Kirkwall,Scotland
KW3,323.1404003,Kirkwall,Scotland
KW5,100.3770914,Kirkwall,Scotland
KW6,126.5880124,Kirkwall,Scotland
KW7,44.58529635,Kirkwall,Scotland
KW8,316.413275,Kirkwall,Scotland
KW9,610.3916896,Kirkwall,Scotland
KY1,"9,107.97",Kirkcaldy,Scotland
KY10,"3,442.95",Kirkcaldy,Scotland
KY11,"4,891.19",Kirkcaldy,Scotland
KY12,"2,803.69",Kirkcaldy,Scotland
KY13,"4,863.02",Kirkcaldy,Scotland
KY14,"3,220.84",Kirkcaldy,Scotland
KY15,"10,126.36",Kirkcaldy,Scotland
KY16,"5,948.81",Kirkcaldy,Scotland
KY2,"4,144.22",Kirkcaldy,Scotland
KY3,"5,416.08",Kirkcaldy,Scotland
KY4,"6,614.13",Kirkcaldy,Scotland
KY5,"2,802.70",Kirkcaldy,Scotland
KY6,"3,757.97",Kirkcaldy,Scotland
KY7,"3,981.71",Kirkcaldy,Scotland
KY8,"7,762.21",Kirkcaldy,Scotland
KY9,929.2097469,Kirkcaldy,Scotland
L1,801.1451385,Liverpool,North West England
L10,"2,413.43",Liverpool,North West England
L11,"1,623.36",Liverpool,North West England
L12,"2,886.58",Liverpool,North West England
L13,"2,434.28",Liverpool,North West England
L14,"3,414.31",Liverpool,North West England
L15,"2,057.52",Liverpool,North West England
L16,"1,210.71",Liverpool,North West England
L17,"2,424.80",Liverpool,North West England
L18,"5,762.83",Liverpool,North West England
L19,"7,263.27",Liverpool,North West England
L2,239.1633547,Liverpool,North West England
L20,"1,891.81",Liverpool,North West England
L21,"1,095.74",Liverpool,North West England
L22,335.5537183,Liverpool,North West England
L23,877.9217853,Liverpool,North West England
L24,"1,776.30",Liverpool,North West England
L25,"3,245.50",Liverpool,North West England
L26,"1,248.78",Liverpool,North West England
L27,509.4194877,Liverpool,North West England
L28,315.0281718,Liverpool,North West England
L29,54.13650156,Liverpool,North West England
L3,973.2756563,Liverpool,North West England
L30,"1,688.78",Liverpool,North West England
L31,"3,029.84",Liverpool,North West England
L32,"2,818.20",Liverpool,North West England
L33,"1,965.89",Liverpool,North West England
L34,"1,166.07",Liverpool,North West England
L35,"2,053.84",Liverpool,North West England
L36,"3,205.83",Liverpool,North West England
L37,"5,058.27",Liverpool,North West England
L38,882.74218,Liverpool,North West England
L39,"3,220.94",Liverpool,North West England
L4,"2,427.94",Liverpool,North West England
L40,"5,769.83",Liverpool,North West England
L5,"1,091.64",Liverpool,North West England
L6,"1,706.97",Liverpool,North West England
L7,"1,359.45",Liverpool,North West England
L8,"2,004.58",Liverpool,North West England
L9,"2,805.69",Liverpool,North West England
LA1,"11,315.61",Lancaster,North West England
LA10,"2,008.24",Lancaster,North West England
LA11,"3,542.13",Lancaster,North West England
LA12,"6,175.04",Lancaster,North West England
LA13,"3,882.08",Lancaster,North West England
LA14,"4,618.12",Lancaster,North West England
LA15,767.082928,Lancaster,North West England
LA16,425.3213251,Lancaster,North West England
LA17,"1,538.87",Lancaster,North West England
LA18,"4,288.70",Lancaster,North West England
FY0,0,Blackpool,
G58,0,Glasgow,
G70,0,Glasgow,
G79,0,Glasgow,
G90,0,Glasgow,
GU95,0,Guildford,
IP98,0,Ipswich,
IV99,0,Inverness,
KY99,0,Kirkcaldy,
L67,0,Liverpool,
L69,0,Liverpool,
L70,0,Liverpool,
L71,0,Liverpool,
L72,0,Liverpool,
